terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,fernandez_huerta,szigriszt_pazos,gutierrez_polini,crawford,gulpease_index,osman
PINNING THE STRIKE,A tendency for the price of a COMMON STOCK with heavily traded OPTIONS to close near the STRIKE PRICE of the most actively traded PUT OPTIONS or CALL OPTIONS.,palgrave,0,58.96,12.2,0.0,9.12,14.2,8.89,6,17.5,15.74,8th and 9th grade,93.3,89.76,41.9,2.8,54.5172413793103,57.12
Treasury Stock Method,"The treasury stock method is an approach companies use to compute the number of new shares that may potentially be created by unexercised in-the-money warrants and options, where the exercise price is less than the current share price. Additional shares obtained through the treasury stock method factor into the calculation of the diluted earnings per share (EPS). This method assumes that the proceeds a company receives from an in-the-money option exercise are used towards repurchasing common shares in the market.",investopedia,1,30.88,18.9,0.0,14.52,24.5,10.95,23,17.0,20.5,18th and 19th grade,70.1,67.93,29.06,3.9,41.5,17.83
Homogeneous Expectations,"Homogeneous expectations is an assumption, expressed in Harry Markowitz's Modern Portfolio Theory (MPT), that all investors have the same expectations and make the same choices in a given situation.",investopedia,1,16.66,18.1,0.0,16.14,20.7,12.15,12,21.5,19.88,12th and 13th grade,63.3,61.83,30.19,5.0,40.7241379310345,23.77
Net Lease,"The term net lease refers to a contractual agreement where a lessee pays a portion or all of the taxes, insurance fees, and maintenance costs for a property in addition to rent. Net leases are commonly used in commercial real estate. In the purest form of a net lease, the tenant is expected to pay for all the costs related to a piece of property as if the tenant were the actual owner. A net lease is the opposite of a gross lease, where the tenant pays a flat rental fee while the landlord is responsible for the other costs.",investopedia,1,63.02,10.7,13.4,7.55,11.4,9.46,19,15.75,14.8,10th and 11th grade,97.4,95.24,45.42,2.6,57.9,68.05
Marginal Analysis,"Marginal analysis is an examination of the additional benefits of an activity compared to the additional costs incurred by that same activity. Companies use marginal analysis as a decision-making tool to help them maximize their potential profits. Marginal refers to the focus on the cost or benefit of the next unit or individual, for example, the cost to produce one more widget or the profit earned by adding one more worker.",investopedia,1,30.5,14.9,17.1,11.78,14.1,10.37,20,17.8333333333333,16.8,14th and 15th grade,74.7,73.49,38.83,4.4,51.2535211267606,47.69
effective annual rate EAR,Interest rate annualized using compound rather than simple interest.,zvi,0,20.04,12.7,0.0,18.99,14.5,11.1,4,6.5,12.49,12th and 13th grade,71.7,66.31,28.46,4.7,55.6666666666667,22.39
Winner's Curse,"The winner's curse is a tendency for the winning bid in an auction to exceed the intrinsic value or true worth of an item. The gap in auctioned versus intrinsic value can typically be attributed to incomplete information, emotions, or a variety of other subjective factors that may influence bidders.",investopedia,1,37.64,14.2,0.0,11.67,14.8,11.51,18,17.5,17.2,11th and 12th grade,79.4,78.42,38.53,3.9,50.6,47.74
PORTFOLIO RETURN,"The income generated by a group of ASSETS over a defined horizon. Income may be derived from DIVIDENDS, YIELD, and/or CAPITAL GAINS, depending on the characteristics of the SECURITIES. The total RETURN of the portfolio is equal to the sum of the returns on each indi- vidual asset, and is given by:where Rp is the return of the portfolio, Rx is the return of asset x in the port- folio, wx is the weight of asset x in the portfolio, Z is the number of assets in the portfolio. See also EXPECTED PORTFOLIO RETURN.s 2 ( Rp ) = s 2 ( R1 ) + s 2 ( R2 ) + 2w1w2cov( R1 , R2 )where Rp is the return of the portfolio, R1 is the return of asset 1, R2 is the return of asset 2, σ2(R1) is the variance of the return of asset 1, σ2 (R2) is the variance of the return of asset 2, w1 is the weight of asset 1 in the portfolio, w2 is the weight of asset 2 in the portfolio, cov(R1, R2) is the covariance between assets 1 and 2.The generalized formula for a portfolio containing Z assets is given by:s 2 ( Rp ) = ∑ ∑ wg whcov( Rg , Rh )Note that the terms for which h = g results in the variance of the Z assets, while the terms for which h ≠ g yields all covariances among the Z assets. See alsoCORRELATION, CORRELATION RISK.",palgrave,0,32.84,20.2,15.6,6.4,21.4,9.68,28,15.75,21.15,15th and 16th grade,69.5,66.18,40.87,3.6,53.8706896551724,50.09
AT BEST,See  ORDER.,palgrave,0,35.61,8.8,0.0,-7.41,0.8,0.1,0,0.0,0.8,-1th and 0th grade,84.8,80.24,55.7,-4.0,194.0,126.22
Quote Currency,"In foreign exchange (forex), the quote currency, commonly known as the counter currency, is the second currency in both a direct and indirect currency pair and is used to determine the value of the base currency.",investopedia,1,34.94,17.3,0.0,10.86,19.7,8.49,5,26.0,18.84,-1th and 0th grade,74.1,72.19,36.53,3.8,48.1666666666667,40.66
keiretsu,a network of japanese companies organized around a major bank.,prin,0,44.41,9.6,0.0,11.4,8.5,10.45,4,7.0,16.0,9th and 10th grade,88.6,84.7,41.26,3.4,66.0,57.65
Mutual Company,"A mutual company is a private firm that is owned by its customers or policyholders. The company's customers are also its owners. As such, they are entitled to receive a share of the profits generated by the mutual company.",investopedia,1,49.82,9.5,12.5,8.45,7.3,8.73,9,8.16666666666667,10.33,8th and 9th grade,91.6,90.0,46.13,3.2,64.8974358974359,68.55
Jumbo CD,"A jumbo certificate of deposit is a CD that requires a higher minimum balance obligation than that required by traditional CDs. In return, the jumbo CD pays a higher rate of interest. A CD is a type of savings account that pays fixed or variable interest in exchange for depositors leaving their funds in the account until a specified date of maturity.",investopedia,1,50.46,11.4,13.0,9.57,11.0,9.76,14,13.3333333333333,13.44,9th and 10th grade,89.7,86.69,43.07,3.4,56.5806451612903,60.08
LOSS RATE,See LOSS FREQUENCY METHOD.,palgrave,0,75.88,3.7,0.0,8.7,7.7,11.73,1,2.0,11.6,11th and 12th grade,112.8,109.39,40.45,-1.3,106.5,63.74
General Agreements to Borrow (GAB),"General Agreements to Borrow (GAB) was a lending medium for members of the Group of Ten (G-10). Under GAB, G-10 countries deposited funds into the International Monetary Fund (IMF) for a nation in economic distress to access. Usually, the loans made through GAB were temporary and designed to help address potential crisis situations.",investopedia,1,53.51,10.2,13.0,12.18,12.7,11.96,18,11.8333333333333,13.12,12th and 13th grade,92.8,88.08,39.24,3.4,52.2075471698113,47.35
Vesting Period,Period during which an option cannot be exercised.,opod,0,37.98,10.0,0.0,10.8,7.9,9.95,3,5.0,13.2,9th and 10th grade,84.7,82.02,41.48,3.2,72.75,56.65
FREDDIE MAC,See FEDERAL HOME LOAN MORTGAGE CORPORATION.,palgrave,0,31.55,10.4,0.0,14.95,11.4,11.83,3,4.0,15.73,11th and 12th grade,80.7,76.24,33.28,3.0,75.6666666666667,41.55
Allocation,"Ways in which to distribute goods, services or resources.",6_8_louis,1,79.26,4.4,0.0,11.22,8.7,11.1,3,4.5,8.04,4th and 5th grade,113.7,107.85,41.39,1.4,67.8888888888889,62.69
RATE ON LINE,"A measure of an INSURER’s or REINSURER’s gross profitabil- ity, generally calculated as:where Pr is PREMIUM and Line is the amount of the LINE provided by the insurer or reinsurer.The higher the rate on line, the more gross profit the insurer earns.",palgrave,0,28.85,19.7,0.0,11.51,22.9,11.36,11,30.0,24.42,11th and 12th grade,68.0,66.94,33.85,3.8,46.6190476190476,33.23
Quadrix,"Quadrix is a stock rating system that uses over 90 variables in seven major categories to determine the value of a stock. The Quadrix system is produced and maintained by Horizon Publishing Company. The seven major categories are momentum, quality, value, financial strength, earnings estimates, performance, and reversion. The overall score for a particular stock is determined by a weighted average of all 90 variables.﻿﻿",investopedia,1,40.99,12.9,15.5,13.92,15.5,10.79,22,11.625,16.06,15th and 16th grade,82.7,78.78,35.39,4.0,47.4615384615385,39.29
Natural Gas ETF,A natural gas exchange-traded fund (ETF) is a type of investment product that allows investors to easily invest in natural gas futures contracts.,investopedia,1,39.67,13.4,0.0,13.0,15.3,13.7,10,16.5,14.42,13th and 14th grade,81.4,75.49,36.96,4.2,48.5652173913043,39.72
payments,Balance of  A set of accounts that summarise a country’s transactions with the rest of the world.,ncert,1,71.14,7.6,0.0,9.39,9.3,9.12,5,8.5,9.15,8th and 9th grade,105.5,101.88,44.17,2.3,59.5882352941177,66.9
OVERHEDGING,Excessive HEDGE protection that might not be required when broader PORTFOLIO exposures with “beneficial” CORRELATIONS that produce natural offsets are considered.,palgrave,0,16.32,16.2,0.0,21.64,20.9,14.45,12,18.5,23.64,-1th and 0th grade,65.4,58.27,22.72,5.7,35.6666666666667,5.6
New York Stock Exchange (NYSE),"The New York Stock Exchange (NYSE) is a stock exchange located in New York City that is the largest equities-based exchange in the world, based on the total market capitalization of its listed securities. Formerly run as a private organization, the NYSE became a public entity on March 8, 2006, following the acquisition of electronic trading exchange Archipelago.﻿﻿ In 2007, a merger with Euronext, the largest stock exchange in Europe, led to the creation of NYSE Euronext, which was later acquired by Intercontinental Exchange, the current parent of the New York Stock Exchange.﻿﻿ ﻿﻿",investopedia,1,23.77,21.6,0.0,13.13,26.8,10.84,22,29.0,23.48,21st and 22nd grade,62.9,61.08,29.42,3.9,42.936170212766,20.86
TRADE-THROUGH,"The purchase or sale of a STOCK during regular TRAD- ING hours, either as PRINCIPAL or AGENT, at a price that is lower than a PROTECTED BID or higher than a PROTECTED OFFER.",palgrave,0,54.9,13.8,0.0,7.38,15.2,10.06,6,20.5,16.84,13th and 14th grade,89.2,85.1,43.38,3.0,55.3636363636364,61.78
Kairi Relative Index,"The Kairi Relative Index is a metric that traders use to indicate when it is time to buy or sell an asset. It measures the deviation of the price from the simple moving average (SMA) of that asset's price over a period of time, typically 10 to 20 days.﻿﻿",investopedia,1,63.53,10.5,0.0,6.68,10.6,10.33,11,15.25,14.7,10th and 11th grade,97.9,93.34,47.03,2.8,59.2040816326531,70.32
Durable,Something that is long lasting.,6_8_louis,1,83.32,2.9,0.0,8.44,6.5,7.04,1,1.5,2.0,1st and 2nd grade,117.8,114.62,43.01,-0.7,95.0,69.97
Tombstone,A tombstone is a written advertisement of a public offering placed by investment bankers who are underwriting the issue. It gives basic details about the issue and lists each of the underwriting groups involved in the deal. The tombstone provides investors with some general information and directs the prospective investors to a link where they can obtain a prospectus.,investopedia,1,51.48,11.0,11.9,13.11,13.3,10.5,16,12.1666666666667,11.27,10th and 11th grade,90.8,88.97,37.51,3.3,51.3728813559322,45.58
Net Receivables,"Net receivables are the total money owed to a company by its customers minus the money owed that will likely never be paid. Net receivables are often expressed as a percentage, and a higher percentage indicates a business has a greater ability to collect from its customers. For example, if a company estimates that 2% of its sales are never going to be paid, net receivables equal 98% (100% - 2%) of the accounts receivable (AR).",investopedia,1,54.56,11.9,14.6,9.29,13.3,9.3,14,16.6666666666667,13.73,9th and 10th grade,91.4,85.48,42.48,3.4,53.6666666666667,56.77
currency union,A situation in which a group of coun-tries decide to adopt a common currency. @Also called a monetary union.@,fmi,0,52.19,10.7,0.0,8.99,10.6,12.06,4,12.5,13.92,10th and 11th grade,91.5,89.47,44.64,3.3,56.8947368421053,61.87
Original Cost,"Original cost is the total price associated with the purchase of an asset. The original cost of an asset takes into consideration all of the items that can be attributed to its purchase and to putting the asset to use. These costs include the purchase price and such factors as commissions, transportation, appraisals, warranties and installation and testing. Original cost can be used to value an asset type, including equipment, real estate and security instruments.",investopedia,1,52.39,10.6,13.0,12.47,12.7,9.62,20,12.375,12.85,12th and 13th grade,91.7,85.91,38.84,3.5,52.4666666666667,50.86
Unlevered Cost of Capital,"Unlevered cost of capital is an analysis using either a hypothetical or an actual debt-free scenario to measure a company's cost to implement a particular capital project (and in some cases used to assess an entire company). Unlevered cost of capital compares the cost of capital of the project using zero debt as an alternative to a levered cost of capital investment, which means using debt as a portion of the total capital required.",investopedia,1,25.46,18.9,0.0,11.38,20.3,10.17,20,27.0,19.66,19th and 20th grade,67.1,62.07,35.32,4.5,47.7837837837838,36.78
PAYER,"A party that is required to make a payment, as under a CHECK, DRAFT, BILL OF EXCHANGE, or other CONTRACT. See also PAYEE.",palgrave,0,76.72,5.4,0.0,4.97,4.6,6.95,3,4.75,4.6,4th and 5th grade,111.1,108.66,51.95,1.6,72.0434782608696,89.24
Make to Stock (MTS),"Make to stock (MTS) is a traditional production strategy that is used by businesses to match the inventory with anticipated consumer demand. Instead of setting a production level and then attempting to sell goods, a company using MTS would estimate how many orders its products could generate, and then supply enough stock to meet those orders.",investopedia,1,43.06,14.2,0.0,12.31,16.9,9.54,15,19.5,17.63,-1th and 0th grade,82.3,76.49,36.38,3.9,48.1071428571429,41.53
Gift Splitting,Gift splitting allows married couples to split the value of a gift between them to double their allowed annual gift tax exclusion amount. This is usually something done when helping someone out with a financial gift and the involved parties want to avoid the gift tax levied by the IRS.,investopedia,1,63.02,10.7,0.0,10.28,13.4,9.61,11,14.5,13.2,10th and 11th grade,97.4,93.37,40.86,2.7,53.6,54.03
FRONTING INSURER,"An INSURER that is interposed between a CEDING INSURER or CAPTIVE, and a REINSURER. Use of a fronting insurer allows the insurer or captive to access the professional reinsurance market directly and obtain coverage at more favorable PREMIUM rates. Also known as FRONTING COMPANY.",palgrave,0,39.63,11.4,15.0,12.69,11.2,10.11,14,11.6666666666667,14.06,11th and 12th grade,83.9,78.9,38.92,4.1,55.8181818181818,46.86
Volume Analysis,"Volume analysis is the examination of the number of shares or contracts of a security that have been traded in a given time period. Volume analysis is used by technical analysts as one of many factors that inform their trading decisions. By analyzing trends in volume in conjunction with price movements, investors can determine the significance of changes in a security's price.",investopedia,1,42.0,12.5,15.0,12.01,13.1,10.52,20,14.6666666666667,16.02,12th and 13th grade,83.7,79.66,39.0,4.0,52.2258064516129,47.6
Revolving Loan Facility,"A revolving loan facility is a form of credit issued by a financial institution that provides the borrower with the ability to draw down or withdraw, repay, and withdraw again. A revolving loan is considered a flexible financing tool due to its repayment and re-borrowing accommodations. It is not considered a term loan because, during an allotted period of time, the facility allows the borrower to repay the loan or take it out again. In contrast, a term loan provides a borrower with funds followed by a fixed payment schedule.",investopedia,1,40.18,13.2,15.6,10.86,12.9,9.14,22,16.0,15.22,15th and 16th grade,81.9,81.19,40.77,3.8,53.2222222222222,53.56
Fee,"A fee is a fixed price charged for a specific service. Fees are applied in a variety of ways such as costs, charges, commissions, and penalties. Fees are most commonly found in heavily transactional services and are paid in lieu of a wage or salary.",investopedia,1,73.17,6.8,11.2,7.88,7.6,11.05,9,8.5,11.33,7th and 8th grade,107.6,107.38,46.84,1.9,63.2222222222222,72.72
Financial Technology (Fintech),"Financial technology (Fintech) is used to describe new tech that seeks to improve and automate the delivery and use of financial services. ​​​At its core, fintech is utilized to help companies, business owners and consumers better manage their financial operations, processes, and lives by utilizing specialized software and algorithms that are used on computers and, increasingly, smartphones. Fintech, the word, is a combination of ""financial technology"".",investopedia,1,21.06,18.5,0.0,16.6,23.2,11.02,21,25.0,21.08,18th and 19th grade,65.2,61.51,27.95,4.8,38.3939393939394,17.08
Orderly Market,"An orderly market is any market in which supply and demand are reasonably equal. An orderly market is said to be in a state of equilibrium. This term can also refer to a site of exchange for goods, services, or financial securities that are traded in a fair, reliable, secure, accurate, and efficient way. Orderly markets contribute to economic growth.",investopedia,1,56.25,9.1,13.0,9.5,9.1,9.38,17,10.5,12.67,9th and 10th grade,95.6,90.08,44.2,3.2,60.1666666666667,63.05
Bank run,Occurs when many depositors rush to the bank to withdraw their money at the same time.,6_8_louis,1,72.16,7.2,0.0,7.83,7.5,7.39,3,8.0,8.9,7th and 8th grade,106.5,105.17,47.16,2.0,63.375,77.25
standing lending facility,A lending facility in which healthy banks are allowed to borrow all they want from a central bank.,fmi,0,70.13,8.0,0.0,8.18,8.8,8.92,4,9.0,9.42,8th and 9th grade,104.5,102.31,45.79,2.3,60.6666666666667,69.68
Form 3,SEC Form 3: Initial Statement of Beneficial Ownership of Securities is a document filed by a company insider or major shareholder with the Securities and Exchange Commission (SEC).,investopedia,1,17.68,17.8,0.0,13.87,18.3,11.79,9,23.0,21.2,17th and 18th grade,64.3,60.91,33.78,5.1,45.0714285714286,32.47
prior distribution,Probability distribution for a variable before adjusting for empirical evidence on its likely value.,zvi,0,-1.96,17.0,0.0,17.74,14.8,11.1,6,12.0,19.89,11th and 12th grade,54.6,50.44,30.71,6.3,48.2857142857143,27.68
SOCIETE ANONYME (SA),"In France, Belgium, Luxembourg, and certain other countries, a CORPORATION that is publicly traded. In all countries min- imum CAPITAL requirements must be met in order to qualify.",palgrave,0,48.81,9.9,0.0,12.35,11.3,10.53,8,8.5,11.31,10th and 11th grade,90.6,88.26,39.72,3.4,55.7857142857143,50.99
Yankee CD,A Yankee certificate of deposit (CD) is a type of CD that is issued in the United States by a branch of a foreign bank. Yankee CDs are denominated in U.S. dollars and are used by foreign banks to raise capital from U.S. investors.,investopedia,1,66.07,9.5,0.0,6.33,9.6,9.39,7,12.5,10.62,9th and 10th grade,100.4,98.46,48.04,2.5,60.1363636363636,72.39
Non-renewable Resources,Non-renewable Resources,ncert_keec111,1,-49.0,20.6,0.0,30.3,31.4,27.42,2,1.0,20.8,20th and 21st grade,24.8,17.94,-7.36,1.0,129.0,-67.24
Covenant,"In legal and financial terminology, a covenant is a promise in an indenture, or any other formal debt agreement, that certain activities will or will not be carried out or that certain thresholds will be met. Covenants in finance most often relate to terms in a financial contract, such as a loan document or bond issue stating the limits at which the borrower can further lend.",investopedia,1,46.44,15.0,0.0,10.28,17.4,10.54,17,20.0,16.84,10th and 11th grade,83.2,79.44,38.53,3.4,50.6666666666667,47.49
Level Death,"A level death benefit is a payout from a life insurance policy that is the same regardless of whether the insured person dies shortly after purchasing the policy or many years later. It can be contrasted with an increasing death benefit, which rises in value over time as the policyholder ages.",investopedia,1,45.59,13.2,0.0,10.45,13.8,9.86,13,17.75,16.47,13th and 14th grade,84.8,81.17,40.44,3.7,52.921568627451,54.48
Dirty Price,"A dirty price is a bond pricing quote, which refers to the cost of a bond that includes accrued interest based on the coupon rate. Bond price quotes between coupon payment dates reflect the accrued interest up to the day of the quote.",investopedia,1,75.03,8.1,0.0,8.24,10.4,9.11,5,11.75,9.53,9th and 10th grade,106.9,107.1,45.04,1.8,58.3023255813954,66.5
FOOTNOTES,"Additional, often detailed, explanation regarding the FINANCIAL STATEMENTS presented by a company. The explanatory mater- ial may related to the BALANCE SHEET, INCOME STATEMENT, and/or CASH FLOW STATEMENT, and may also include information on the operating envir- onment, litigation, and other RISK FACTORS.",palgrave,0,15.81,16.4,0.0,16.71,18.2,12.41,18,16.25,17.9,16th and 17th grade,64.9,62.18,30.83,5.3,41.5581395348837,25.45
FUNDED PENSION PLAN,A PENSION PLAN where all future LIABILITIES are fully covered by existing fund resources. See also UN.,palgrave,0,54.39,7.8,0.0,9.3,6.7,11.49,6,4.25,8.11,7th and 8th grade,96.2,92.06,44.3,2.5,73.7058823529412,66.99
Quantity equation of exchange,"A tau-tology,   MV  PQ ,  where  M  is the money supply,  V  is the income veloc-ity of money, and  PQ  @price times quantity@ is the money value of total output @nominal ",sam,1,7.19,19.7,0.0,6.69,14.0,12.49,7,19.5,16.0,19th and 20th grade,56.2,52.24,45.58,5.7,55.6666666666667,64.75
BULLET LOAN,"A LOAN with a PRINCIPAL balance that is repaid by the BORROWER in a single installment at MATURITY, rather than standard AMORTIZATION of payments over the life. Also known as BULLET. See alsoBALLOON LOAN.",palgrave,0,60.01,7.7,11.2,10.01,7.9,8.84,10,6.66666666666667,11.58,7th and 8th grade,99.3,94.72,43.59,2.7,65.1764705882353,62.69
PARASOL POLICY,See DIFFERENCE IN CONDITIONS INSURANCE.,palgrave,0,15.64,12.3,0.0,17.72,14.0,10.2,2,4.5,18.0,17th and 18th grade,69.8,64.78,27.49,3.3,79.0,26.45
Output Gap,The term output gap refers to the difference between the actual output of an economy and the maximum potential output of an economy expressed as a percentage of gross domestic product (GDP). A country's output gap may be either positive or negative. A negative output gap suggests that actual economic output is below the economy's full capacity for output while a positive output suggests an economy that is outperforming expectations because its actual output is higher than the economy's recognized maximum capacity output.,investopedia,1,17.98,17.6,19.3,13.64,17.7,9.58,20,21.8333333333333,17.83,17th and 18th grade,64.6,63.58,34.33,4.9,46.1084337349398,31.99
capital call,A requirement of limited partners in a venture capital agreement to supply funds per their commitment with the partnership.,fmi,0,43.73,11.9,0.0,14.45,14.1,12.89,8,14.5,16.02,14th and 15th grade,85.5,79.63,35.46,4.0,49.5263157894737,40.24
Interbank Network for Electronic Transfer (INET),"Interbank Network for Electronic Transfer (INET) processed credit and debit card transactions between financial institutions (FIs). It handled the transferring of funds from cards bearing the MasterCard Inc. (MA) logo, prior to the introduction of Banknet.",investopedia,1,36.28,12.7,0.0,17.05,17.0,15.06,18,13.0,16.09,12th and 13th grade,80.5,78.08,30.97,4.2,43.1666666666667,27.36
Stress-testing,A process for exploring how a portfolio of ASSETS and/or liabilities would fare in extreme adverse conditions. A useful tool in RISK MANAGEMENT.,economist,1,51.34,9.0,0.0,11.52,9.3,11.07,8,7.25,13.3,8th and 9th grade,93.1,86.99,40.99,3.3,62.0434782608696,54.55
Petrodollars,"Petrodollars are U.S. dollars paid to an oil-exporting country for the sale of the commodity. Put simply, the petrodollar system is an exchange of oil for U.S. dollars between countries that buy oil and those that produce it.",investopedia,1,69.11,8.3,0.0,10.21,11.4,9.15,9,10.5,9.71,9th and 10th grade,103.5,97.66,42.6,2.6,55.3157894736842,59.33
BESLOTEN VENNOOTSCHAP (BV),"In the Netherlands, Netherlands Antilles, and Belgium, a LIMITED LIABILITY COMPANY. This form of busi- ness organization is frequently used in the establishment of offshore SPECIAL PURPOSE ENTITIES domiciled in the Antilles.",palgrave,0,29.86,13.1,0.0,16.3,15.0,11.83,13,11.5,13.9,11th and 12th grade,76.5,74.02,32.92,4.5,47.4375,31.91
Baby Bond,"A baby bond is a fixed income security that is issued in small-dollar denominations, with a par value of less than $1,000. The small denominations enhance the attraction of baby bonds to average retail investors.",investopedia,1,45.25,11.3,0.0,10.9,11.3,11.27,9,11.75,11.57,11th and 12th grade,87.0,82.54,41.41,3.8,55.2857142857143,56.6
SEC Release IA-1092,SEC Release IA-1092 is a release from the Securities & Exchange Commission (SEC) that provides uniform interpretations of how state and federal adviser laws apply to those that provide financial services.,investopedia,1,24.11,17.4,0.0,15.97,20.9,13.02,11,21.5,20.0,12th and 13th grade,68.3,64.7,30.06,4.7,41.0,21.22
Tiger economies,"The fast-growing developing economies of Asia, at least before their crisis in the late 1990s.",economist,1,64.71,8.0,0.0,11.88,11.2,10.7,3,8.5,8.67,8th and 9th grade,101.6,100.46,40.16,2.4,55.6666666666667,54.99
LADDERED PORTFOLIO,"An INVESTMENT PORTFOLIO comprised of NOTES and BONDS with short-, medium- and long-term MATURITIES, generally in approximately equal amounts. Such a portfolio provides the INVESTOR with exposure to the entire YIELD CURVE, generating INTEREST and PRINCIPAL redemptions on a steady basis over time. See also BARBELL PORTFOLIO.",palgrave,0,38.62,11.8,14.6,15.6,14.2,11.81,17,11.8333333333333,14.79,11th and 12th grade,82.8,79.82,34.2,4.0,49.0,35.17
AMOUNT AT RISK,"(1) In INSURANCE, the lesser of a POLICY CAP on a contract and the MAXIMUM PROBABLE LOSS to the INSURED. INSURERS use amount at risk to estimate potential losses within their PORTFOLIOS. (2) The difference between the PRINCIPAL outstanding on a LOAN and the value of any COLLATERAL securing the loan if it is liquidated forcibly.",palgrave,0,34.6,15.4,0.0,10.57,15.6,11.23,18,21.0,20.49,15th and 16th grade,76.3,75.37,39.33,4.0,50.7857142857143,47.15
Bundle of Rights,A bundle of rights is a term for the set of legal privileges that is generally afforded to a real estate buyer with the transfer of the title. The bundle includes the following:,investopedia,1,63.19,8.5,0.0,7.54,7.5,8.76,8,10.25,10.24,8th and 9th grade,100.0,94.05,47.39,2.9,63.2424242424243,72.66
Hedge funds,"These bogey-men of the FINANCIAL MARKETS are often blamed, usually unfairly, when things go wrong. There is no simple definition of a hedge fund (few of them actually HEDGE). But they all aim to maximise their absolute returns rather than relative ones; that is, they concentrate on making as much MONEY as possible, not (like many mutual funds) simply on outperforming an index. Although they are often accused of disrupting financial markets by their SPECULATION, their willingness to bet against the herd of other investors may push security prices closer to their true fundamental values, not away.",economist,1,46.81,12.8,15.2,12.31,15.3,10.21,26,16.625,15.91,15th and 16th grade,86.1,82.39,37.71,3.6,49.2061855670103,44.3
Inward investment,Investment from abroad; the opposite of OUTWARD INVESTMENT (see FOREIGN DIRECT INVESTMENT).,economist,1,33.92,11.5,0.0,18.55,16.0,9.5,3,9.0,11.47,11th and 12th grade,80.6,75.43,29.57,4.3,47.3333333333333,17.33
Non-Qualified Plan,"A nonqualified plan is a type of tax-deferred, employer-sponsored retirement plan that falls outside of Employee Retirement Income Security Act (ERISA) guidelines. Nonqualified plans are designed to meet specialized retirement needs for key executives and other select employees and can act as recruitment or employee retention tools. These plans are also exempt from the discriminatory and top-heavy testing that qualified plans are subject to.",investopedia,1,32.94,14.0,16.3,16.53,17.4,10.61,18,16.0,16.02,16th and 17th grade,77.1,72.58,31.2,4.5,43.375,27.25
EXPORT IMPORT BANK,"The US EXPORT CREDIT agency, created to encour- age TRADE flows by providing export credit GUARANTEES and guaranteeing LOANS made by banks to US exporters. Also known as EXIMBANK.",palgrave,0,48.3,10.1,0.0,11.53,10.4,11.43,10,8.75,12.7,10th and 11th grade,90.1,89.22,40.96,3.3,57.6206896551724,54.33
investment bankers,"Firms specializing in the sale of new securities to the public, typically by underwriting the issue.",zvi,0,29.86,13.1,0.0,12.53,11.6,10.35,5,12.0,16.4,12th and 13th grade,76.5,74.02,39.28,4.5,54.625,54.58
CAPM,See CAPITAL ASSET PRICING MODEL.,economist,1,32.56,10.0,0.0,9.6,7.4,13.36,3,2.5,2.0,9th and 10th grade,81.8,77.24,41.07,2.3,93.0,65.14
ENDORSER,"The party signing a NEGOTIABLE INSTRUMENT; once the endorser signs the instrument, ownership is transferred to the BENEFICIARY. See also ENDORSEMENT.",palgrave,0,26.98,12.1,0.0,15.75,12.7,10.92,8,7.75,15.63,12th and 13th grade,76.1,74.7,33.79,4.2,56.1428571428571,36.99
House prices,"When they go through the roof it is usually a warning sign that an economy is overheating. House prices often rise after INTEREST RATE reductions, which lower mortgage payments and thus give buyers the ability to fund a larger amount of borrowing and so offer a higher price for their new home. Strangely, people often regard house-price INFLATION as good news, even though it creates as many losers as gainers. They argue that rising house prices help to boost consumer confidence, and are part of the WEALTH EFFECT: as house prices rise, people feel wealthier and so spend more. However, against this must be set a negative wealth effect. An increase in house prices makes many people worse off, such as first-time buyers and anyone planning to trade up to a better property.",economist,1,65.86,9.6,11.5,10.15,12.5,8.77,28,15.25,12.49,9th and 10th grade,100.2,96.14,41.57,2.6,54.0375939849624,55.02
Social Justice,"Social justice is a political and philosophical theory which asserts that there are dimensions to the concept of justice beyond those embodied in the principles of civil or criminal law, economic supply and demand, or traditional moral frameworks. Social justice tends to focus more on just relations between groups within society as opposed to the justice of individual conduct or justice for individuals.",investopedia,1,22.58,17.9,0.0,14.63,20.0,12.47,26,22.25,20.85,17th and 18th grade,66.7,61.61,31.83,4.9,43.9206349206349,27.19
TIED LOAN,"A LOAN granted by one country to another country, with the express condition that the proceeds be used to buy goods and services from the lending country.",palgrave,0,60.99,11.5,0.0,10.1,14.4,8.48,6,15.5,12.28,11th and 12th grade,95.3,89.85,40.48,2.9,52.7037037037037,53.38
Code of Ethics,"A code of ethics is a guide of principles designed to help professionals conduct business honestly and with integrity. A code of ethics document may outline the mission and values of the business or organization, how professionals are supposed to approach problems, the ethical principles based on the organization's core values, and the standards to which the professional is held.",investopedia,1,32.57,16.2,0.0,13.94,18.9,10.65,17,20.5,18.0,-1th and 0th grade,74.3,71.96,33.45,4.2,45.1666666666667,32.91
Dividend Rate,"The dividend rate is the total expected dividend payments from an investment, fund or portfolio expressed on an annualized basis plus any additional non-recurring dividends that an investor may receive during that period. Depending on the company's preferences and strategy, the dividend rate can be fixed or adjustable.",investopedia,1,30.2,15.0,0.0,15.5,17.6,12.39,19,19.5,20.43,19th and 20th grade,74.4,68.62,32.44,4.7,44.2083333333333,31.34
