terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,linsear_write_formula,gunning_fog
Demographic data,"Statistical data about the characteristics of a population. Examples include age, gender, and income of the people within a population.",6_8_louis,1,19.03,13.1,0.0,13.72,10.9,10.45,6.5,12.0
Manufacture,"To make or process goods, especially in large quantities and by means of industrial machines.",6_8_louis,1,56.25,9.1,0.0,11.88,10.9,9.64,10.5,14.0
factoring,"The sale of accounts receivable to another firm, which takes responsibility for collections. W-",fmi,0,31.89,12.3,0.0,14.84,13.2,12.23,11.0,14.17
Petition,"All required documentation that will begin a bankruptcy proceeding (e.g., bankruptcy forms, schedules, statements, plan) plus payment of the court filing fee.",6_8_louis,1,40.69,13.1,0.0,16.48,18.9,13.34,15.0,14.25
common stockholders,"Individuals who have an ownership interest in a firm, with rights to receive dividends and vote on major corporate issues.",fmi,0,34.26,13.5,0.0,12.01,12.8,10.94,15.0,18.0
Renewable Resource,A renewable resource is one that can be used repeatedly and does not run out because it is naturally replaced.,investopedia,1,51.18,11.1,0.0,8.82,10.0,8.58,13.0,14.0
Statistics,"The method of collecting, organising, presenting and analysing data to draw meaningful conclusion. Further, it also means data.",ncert_kest,1,45.42,9.2,0.0,14.76,11.8,11.1,6.0,14.71
INSOLVENCY,"A state where a company’s LIABILITIES exceed the MARKET VALUE of its ASSETS (giving rise to NEGATIVE EQUITY) or when it cannot pay DEBTS falling due in the normal course of business. Insolvency generally leads to filing of VOLUNTARY BANKRUPTCY or INVOLUNTARY BANKRUPTCY. See also DEFAULT, EVENT OF DEFAULT, SOLVENCY.",palgrave,0,37.6,12.2,14.1,12.58,12.1,10.47,12.0,14.68
Unions,"In developed countries, at least, trade union membership and influence has declined over the past three decades. Fewer WAGES are now set by collective bargaining, and far fewer working days are lost to strikes. Unions, which are in effect a CARTEL of workers, probably make UNEMPLOYMENT higher than it would be without them, as collective bargaining often pushes wages above the level that would bring LABOUR SUPPLY and DEMAND into EQUILIBRIUM. These higher wages increase supply and reduce demand, with the result that there are more jobless people. Unions thus deepen a conflict between those in the labour market who are insiders, that is, union members, and those who are outsiders, typically non-unionised, poorly paid or jobless people. However, unions can combat the excessive market power of some FIRMS, particularly when the firms (or a GOVERNMENT) dominate a particular job market. They can support workers who are badly treated by management. They may sometimes provide an efficient, and thus valuable, channel for communication between workers and managers, particularly in countries such as Germany, where conflict between management and unions is viewed as unhealthy.",economist,1,48.23,12.2,12.8,13.76,15.7,9.69,12.0,12.88
LONG ARBITRAGE,"An ARBITRAGE strategy employed in the FUTURES mar- ket when the FORWARD RATE is lower than the futures rate, indicating that the cash market is overpriced when compared with the futures market; the strategy calls for selling the UNDERLYING ASSET and buying futures. See alsoSHORT ARBITRAGE.",palgrave,0,48.13,12.3,0.0,13.29,15.2,10.27,14.5,12.68
Stare Decisis,"Stare decisis is a legal doctrine that obligates courts to follow historical cases when making a ruling on a similar case. Stare decisis ensures that cases with similar scenarios and facts are approached in the same way. Simply put, it binds courts to follow legal precedents set by previous decisions.",investopedia,1,54.52,9.8,13.0,11.42,10.8,10.15,11.3333333333333,12.28
DEBT SERVICE COVERAGE,"A company’s ability to manage its DEBT SERVICE requirement. A company with strong coverage possesses financial strength and flexibility, while one with weak cover is susceptible to FINANCIAL DISTRESS. Debt service coverage may be computed through the FIXED CHARGE COVERAGE ratio. See also INTEREST COVERAGE.",palgrave,0,34.63,11.2,14.2,14.77,11.7,9.81,8.375,13.41
Capital investment,"The purchase of physical capital goods (e.g., buildings, tools and equipment) that are used to produce goods and services.",6_8_louis,1,60.65,9.5,0.0,12.36,13.8,12.06,11.5,9.71
Total cost,"@refer to  cost, total @ divided by the number of units produced.     ",sam,1,9.55,14.7,0.0,7.35,6.8,11.36,6.0,8.04
DISCRETIONARY ACCOUNT,A customer BROKERAGE ACCOUNT where the client gives the BROKER authorization to act on his/her behalf in buying and selling SECURITIES. The client may limit the discretion through time and/ or price constraints.,palgrave,0,54.73,9.7,0.0,13.16,12.3,10.2,10.25,11.45
Retail Price Index (RPI),"The Retail Price Index (RPI) is one of the two main measures of consumer inflation produced by the United Kingdom's Office for National Statistics (ONS). It is not considered an official statistic by the U.K., but it is used for certain types of cost escalation. The RPI was introduced in the U.K. in 1947, and it was made official in 1956.",investopedia,1,67.79,8.8,12.5,8.01,10.4,10.34,12.8333333333333,12.71
Value added,"Net contribution made by a firm in the process of production. It is defined as, Value of production – Value of intermediate goods used.",ncert,1,59.3,8.0,0.0,8.16,6.6,8.18,7.0,9.8
Incumbent,"The term incumbent refers to an individual who currently holds a set of responsibilities within a specific office as part of a corporation or within a branch of the government. As the incumbent, this person has an obligation to the position or office they hold. All incumbents of an organization such as directors and officers are listed on an incumbency certificate. An incumbent may also refer to the obligation itself or to the sense of duty surrounding the accomplishment of a particular task or objective.",investopedia,1,25.83,16.7,18.6,11.78,16.4,9.31,16.125,19.79
utility,The measure of the welfare or satisfaction of an investor.,zvi,0,61.33,7.2,0.0,9.08,6.6,8.87,5.0,8.0
RESOLUTION,"A motion that is adopted by a specific body, such as a group of SHAREHOLDERS during the ANNUAL GENERAL MEETING of a company, typically through a majority vote in the affirmative. Once approved, it becomes part of the governing operations of a company.",palgrave,0,41.19,12.9,0.0,10.21,12.2,9.11,16.25,16.04
Chattel Mortgage,"A chattel mortgage is a loan arrangement in which an item of the movable personal property acts as security for a loan. The movable property, or chattel, guarantees the loan, and the lender holds an interest in it. A chattel mortgage differs from a conventional mortgage in which the loan is secured by a lien on the real stationary property.",investopedia,1,59.64,9.9,13.6,9.69,10.9,9.1,13.3333333333333,13.33
Head of Household,Taxpayers may file tax returns as heads of household (HOH) if they pay more than half the cost of supporting and housing a qualifying person. Taxpayers eligible to classify themselves as an HOH get higher standard deductions and lower tax rates than taxpayers who file as single or married filing separately.﻿﻿﻿,investopedia,1,45.59,13.2,0.0,12.71,15.8,10.47,17.25,15.69
Federal Trade Commission (FTC),"The Federal Trade Commission (FTC) is an independent agency of the U.S. government that aims to protect consumers and ensure a strong competitive market by enforcing consumer protection and antitrust laws. Its principal purpose is to enforce non-criminal antitrust laws in the United States, by preventing and eliminating anticompetitive business practices, including coercive monopoly.",investopedia,1,18.69,17.4,0.0,17.82,21.1,13.16,21.0,21.17
Smurf,A smurf is a colloquial term for a money launderer who seeks to evade scrutiny from government agencies by breaking up large transactions into a set of smaller transactions that are each below the reporting threshold. Smurfing is an illegal activity that can have serious consequences.,investopedia,1,39.67,13.4,0.0,13.0,14.7,10.61,17.0,17.03
Special Warranty Deed,"A special warranty deed is a deed to real estate where the seller of the property—known as the grantor—warrants only against anything that occurred during their physical ownership. In other words, the grantor doesn't guarantee against any defects in clear title that existed before they took possession of the property.",investopedia,1,46.1,13.0,0.0,13.87,16.5,9.61,16.5,15.6
DIRTY FLOAT,A situation where a CENTRAL BANK or monet- ary authority does not adjust the nation’s MONEY SUPPLY to offset any changes caused by active intervention in the FOREIGN EXCHANGE mar- kets. The dirty float may ultimately result in rising INFLATION. See alsoSTERILIZATION.,palgrave,0,41.7,12.7,0.0,13.23,14.4,12.2,13.5,14.11
1%/10 Net 30,"The 1%/10 net 30 calculation is a way of providing cash discounts on purchases. It means that if the bill is paid within 10 days, there is a 1% discount. Otherwise, the total amount is due within 30 days.",investopedia,1,75.2,6.0,9.7,5.32,5.1,8.73,6.83333333333333,8.28
LEGAL MECHANISM CONTROL,"A structure or process where effective con- trol of a company is obtained through legal or structural mechanisms (e.g., a pyramid holding company) rather than the purchase of a majority share of COMMON STOCK. See also MAJORITY CONTROL, MANAGEMENT CONTROL, MINORITY CONTROL, TOTAL CONTROL, VOTING TRUST CONTROL.",palgrave,0,39.16,13.6,0.0,14.1,16.8,11.86,15.75,13.66
Trade Secret,A trade secret is any practice or process of a company that is generally not known outside of the company. Information considered a trade secret gives the company a competitive advantage over its competitors and is often a product of internal research and development.,investopedia,1,18.36,21.6,0.0,13.13,24.8,10.48,16.5,24.87
Accidental Death and Dismemberment Insurance (AD&D),"Accidental death and dismemberment (AD&D) insurance is insurance—usually added as a rider to a health insurance or life insurance policy—that covers the unintentional death or dismemberment of the insured. Dismemberment includes the loss—or the loss of use—of body parts or functions (e.g., limbs, speech, eyesight, and hearing).",investopedia,1,39.16,13.6,0.0,16.6,18.9,10.85,16.75,14.51
stress testing,Calculating losses under dire sce-narios.,fmi,0,-1.29,14.7,0.0,18.88,15.9,19.67,3.5,10.0
residual income,Another term for economic value added @EVA@.,zvi,0,55.91,7.2,0.0,9.06,7.6,10.75,4.5,8.51
Representative Sample,"A representative sample is a subset of a population that seeks to accurately reflect the characteristics of the larger group. For example, a classroom of 30 students with 15 males and 15 females could generate a representative sample that might include six students: three males and three females. Samples are useful in statistical analysis when population sizes are large because they contain smaller, manageable versions of the larger group.",investopedia,1,39.67,13.4,14.1,14.05,15.6,10.5,15.1666666666667,14.42
Animal spirits,"The colourful name that keynes gave to one of the essential ingredients of economic prosperity: confidence. According to Keynes, animal spirits are a particular sort of confidence, ""naive optimism"". He meant this in the sense that, for entrepreneurs in particular, ""the thought of ultimate loss which often overtakes pioneers, as experience undoubtedly tells us and them, is put aside as a healthy man puts aside the expectation of death"". Where these animal spirits come from is something of a mystery. Certainly, attempts by politicians and others to talk up confidence by making optimistic noises about economic prospects have rarely done much good.",economist,1,50.77,11.2,14.8,13.11,14.2,9.14,14.2,13.65
SINGLE FACTOR MODEL,"A form of mathematical model used in the pricing of INTEREST RATE DERIVATIVES in which all of the uncertainty related to the future movement of interest rates is captured in a single factor, generally a short-term rate. The entire TERM STRUCTURE is evolved from the singlerate. Also known as ONE FACTOR MODEL. See also FORWARD RATE MODEL, MULTIFACTOR MODEL, SHORT RATE MODEL.",palgrave,0,47.28,10.5,11.7,11.08,10.2,8.99,9.0,11.36
ASSET TURNOVER,"A measure of a company’s efficiency in utilizing its ASSETS, generally calculated as the number of times during the year the value of the company’s assets is generated in REVENUES. It is computed as:where Rev is the company’s revenues, and TA is the company’s total assets. The higher the ratio, the more effective is the company in utilizing its assets to gen- erate value. Also known as CAPITAL TURNOVER.",palgrave,0,45.46,11.2,13.8,10.09,10.3,8.84,12.125,11.56
House Poor,"House poor is a term used to describe a person who spends a large proportion of his or her total income on home ownership, including mortgage payments, property taxes, maintenance, and utilities. Individuals in this situation are short of cash for discretionary items and tend to have trouble meeting other financial obligations, such as vehicle payments.",investopedia,1,34.6,15.4,0.0,13.76,18.1,10.38,20.0,19.77
Restrictive practice,"A general term for anything done by a firm, or FIRMS, to inhibit COMPETITION. Generally against the law. (See ANTITRUST and CARTEL.)",economist,1,60.31,7.6,0.0,8.97,7.9,9.21,6.5,9.85
Social regulation,See  regulation.,sam,1,-49.0,20.6,0.0,7.1,12.5,11.63,1.0,20.8
Value of Risk (VOR),Value of risk (VOR) is the financial benefit that a risk-taking activity will bring to the stakeholders of an organization. It requires the organization to determine whether an activity will help to move it closer to completing its objectives.,investopedia,1,14.97,20.9,0.0,13.53,23.2,10.83,15.25,23.81
IOTA,"IOTA (MIOTA) is a distributed ledger designed to record and execute transactions between machines and devices in the Internet of Things (IoT) ecosystem. The ledger uses a cryptocurrency called mIOTA to account for transactions in its network. IOTA’s key innovation is Tangle, a system of nodes used for confirming transactions. IOTA claims that Tangle is faster and more efficient than typical blockchains used in cryptocurrencies.",investopedia,1,46.47,10.8,13.0,14.38,13.3,11.49,11.125,12.67
Velocity of Money,"The velocity of money is a measurement of the rate at which money is exchanged in an economy. It is the number of times that money moves from one entity to another. It also refers to how much a unit of currency is used in a given period of time. Simply put, it's the rate at which consumers and businesses in an economy collectively spend money.",investopedia,1,63.19,8.5,12.2,6.49,6.8,8.04,10.75,11.45
Velocity of money,"In serving its func-tion as a medium of exchange, money moves from buyer to seller to new buyer and so on. Its “veloc-ity” refers to the speed of this movement.     ",sam,1,56.25,9.1,0.0,6.49,6.7,10.17,7.0,6.0
duration,the average number of years to an asset’s discounted cash flows.,prin,0,68.77,6.4,0.0,9.49,7.2,11.36,6.5,11.67
Endowment Effect,"The endowment effect refers to an emotional bias that causes individuals to value an owned object higher, often irrationally, than its market value.",investopedia,1,31.21,14.6,0.0,14.05,15.9,12.33,15.5,16.16
Libertarianism,An economic philos-ophy that emphasizes the impor-tance of personal freedom in economic and political affairs; also sometimes called “liberalism.”,sam,1,-7.04,19.0,0.0,20.59,19.8,13.72,17.5,18.13
INDUSTRIAL REVENUE BOND,"In the United States, a form of MUNICIPAL BOND issued by a state or local government on behalf of a CORPORATION that is engaged in a development project on behalf of the municipality. Thebond may be backed by real ASSETS, such as property or buildings. Also known as INDUSTRIAL DEVELOPMENT BOND.",palgrave,0,45.76,11.1,12.5,9.74,9.7,9.43,11.1666666666667,11.51
Voting Trust Agreements,"A voting trust agreement is a contractual agreement in which shareholders with voting rights transfer their shares to a trustee, in return for a voting trust certificate. This gives the voting trustees temporary control of the corporation.",investopedia,1,52.7,10.5,0.0,14.1,13.7,10.53,11.75,12.81
BAT Stocks,"BAT is an acronym referring to Baidu Inc. (BIDU), Alibaba Group Holding Ltd. (BABA) and Tencent Holdings Ltd. (0700.Hong Kong, TCEHY), three large Chinese internet stocks often likened to Alphabet Inc. (GOOG) subsidiary Google, Amazon.com Inc. (AMZN) and Facebook Inc. (FB). The BATs are often compared to the FANGs—or variations—which comprise Facebook, Amazon, Netflix Inc. (NFLX) and Alphabet.",investopedia,1,50.5,13.4,0.0,14.28,20.8,14.6,18.0,15.05
Balance of payments,A set of accounts that summarise a country’s transactions with the rest of the world.,ncert,1,81.63,5.6,0.0,9.21,8.3,8.59,7.5,8.67
LOANBACK,"In the United Kingdom, a transaction where an individual bor- rows against funds accumulated in a PENSION account, generally on a short- term basis.",palgrave,0,30.2,15.0,0.0,12.02,15.1,10.75,16.0,16.27
Autonomous Expenditure,"An autonomous expenditure describes the components of an economy's aggregate expenditure that are not impacted by that same economy's real level of income. This type of spending is considered automatic and necessary, whether occurring at the government level or the individual level. The classical economic theory states that any rise in autonomous expenditures will create at least an equivalent rise in aggregate output, such as GDP, if not a greater increase.",investopedia,1,30.5,14.9,18.2,14.45,16.5,10.37,18.8333333333333,18.49
Asset-Backed Security,"Security created from a portfolio of loans, bonds, credit card receivables, or other assets. ",opod,0,31.89,12.3,0.0,13.22,12.1,13.35,11.0,17.03
DAY COUNT CONVENTION,"A mechanism for computing COUPON pay-ments/receipts on a FIXED INCOME SECURITY. Day count conventions, whichvary by instrument, market, and country, are based on the period betweenCOUPON payments, the number of days in the month, and number of the•Actual/360, which computes the actual number of days between two cou- pon dates and assumes the year has 360 days.•Actual/365, which computes the actual number of days between two cou- pon dates and assumes the year has 365 days.•Actual/actual, which computes the actual number of days between two cou- pon dates and assumes the year has 365 days or 366 days (depending on leap year).•30/360, which assumes that each month has 30 days and the year has 360 days (a European version of this modifies the end-of-month computation).",palgrave,0,16.5,26.5,0.0,12.49,34.4,10.53,32.5,28.84
FRA,See FORWARD RATE AGREEMENT.,palgrave,0,75.88,3.7,0.0,10.15,8.8,7.78,1.0,1.6
dcf,discounted cash flow.,prin,0,59.97,5.6,0.0,9.23,9.9,9.05,1.5,14.53
Interest Rate Future,An interest rate future is a futures contract with an underlying instrument that pays interest. The contract is an agreement between the buyer and seller for the future delivery of any interest-bearing asset.,investopedia,1,37.81,12.1,0.0,12.82,11.9,10.68,11.25,11.45
Monotonic preferences,"A consumer’s preferences are monotonic if and only if between any two bundles, the consumer prefers the bundle which has more of at least one of the goods and no less of the other good as compared to the other bundle.",ncert_class12_econ,1,55.24,15.7,0.0,8.37,19.4,8.37,22.5,18.35
Business Insurance,"Business insurance coverage protects businesses from losses due to events that may occur during the normal course of business. There are many types of insurance for businesses including coverage for property damage, legal liability and employee-related risks.",investopedia,1,27.32,14.0,0.0,17.23,16.3,11.38,14.25,16.05
PROPORTIONAL TREATY,See PROPORTIONAL AGREEMENT.,palgrave,0,9.21,12.7,0.0,20.83,19.3,14.31,1.5,14.53
Generation-Skipping Transfer Tax (GSTT),"The generation-skipping transfer tax is a federal tax that results when there is a transfer of property by gift or inheritance to a beneficiary who is at least 37½ years younger than the donor. Generation-skipping transfer taxes serve the purpose of ensuring that taxes are paid when assets are placed in a trust, and the beneficiary receives amounts in excess of the generation-skipping estate tax credit.",investopedia,1,37.98,16.2,0.0,12.78,19.4,10.54,21.0,16.84
COST OF RISK,"The implicit or explicit price a company must pay to man- age its RISK exposures; typically it comprises of the expected costs and dir- ect and indirect losses arising from RISK RETENTION, LOSS CONTROL, LOSS FINANCING, and RISK REDUCTION activities.",palgrave,0,22.42,20.1,0.0,12.78,23.3,12.73,32.0,27.0
Expected Loss Ratio (ELR Method),"Expected loss ratio (ELR) method is a technique used to determine the projected amount of claims, relative to earned premiums. The expected loss ratio (ELR) method is used when an insurer lacks the appropriate past claims occurrence data to provide because of changes to its product offerings and when it lacks a large enough sample of data for long-tail product lines.",investopedia,1,48.98,14.0,0.0,11.91,17.7,10.84,20.25,18.1
Cup and Handle,"A cup and handle price pattern on a security's price chart is a technical indicator that resembles a cup with a handle, where the cup is in the shape of a ""u"" and the handle has a slight downward drift. The cup and handle is considered a bullish signal, with the right-hand side of the pattern typically experiencing lower trading volume. The pattern's formation may be as short as seven weeks or as long as 65 weeks.",investopedia,1,62.31,11.0,12.5,8.01,12.3,9.01,15.5,14.44
Marginal Revenue Product (MRP),"Marginal revenue product (MRP), also known as the marginal value product, is the marginal revenue created due to an addition of one unit of resource. The marginal revenue product is calculated by multiplying the marginal physical product (MPP) of the resource by the marginal revenue (MR) generated. The MRP assumes that the expenditures on other factors remain unchanged and helps determine the optimal level of a resource.",investopedia,1,31.92,14.3,15.9,13.06,14.9,9.69,16.1666666666667,14.89
"Gross national product, real ","Nominal GNP corrected for infl ation; i.e., real GNP equals nominal GNP divided by the  GNP defl ator. This was the cen- tral accounting concept in earlier  times but has been replaced by gross domestic product.",sam,1,53.21,10.3,0.0,9.34,10.3,13.3,12.5,13.87
Competition (elementary),When there are many buyers and sellers of a product. Sellers compete with other sellers to sell products to buyers. Buyers compete with other buyers for goods and services.,pre_louis,1,70.09,5.9,3.1,9.43,6.8,7.38,3.83333333333333,3.88
Mark Zuckerberg,"Mark Zuckerberg is a self-taught computer programmer and co-founder, chair, and chief executive officer of Facebook (FB), which he founded in his Harvard University dorm room in 2004 along with Andrew McCollum, Dustin Moskovitz, Chris Hughes, and Eduardo Saverin.",investopedia,1,31.89,18.5,0.0,15.15,25.2,14.07,26.5,21.75
G7,See GROUP OF 7.,palgrave,0,118.18,-2.3,0.0,-7.26,-5.4,7.78,1.0,1.6
Social Responsibility,"Social responsibility means that businesses, in addition to maximizing shareholder value, must act in a manner that benefits society. Social responsibility has become increasingly important to investors and consumers who seek investments that are not just profitable but also contribute to the welfare of society and the environment. However, critics argue that the basic nature of business does not consider society as a stakeholder.",investopedia,1,24.48,15.1,17.1,15.78,16.6,10.37,16.6666666666667,16.65
Regulation U,"Regulation U is a Federal Reserve Board regulation that governs loans by entities involving securities as collateral and the purchase of securities on margin. Regulation U limits the amount of leverage that can be extended for loans secured by securities for the purpose of buying more securities. Securities involved typically include stocks, mutual funds, and other market-traded securities.",investopedia,1,18.05,15.5,16.7,16.13,15.8,11.4,15.3333333333333,13.93
PROMPT DATE,The specific date on which payment is due from the buyer on a good purchased from a seller.,palgrave,0,78.59,6.8,0.0,5.97,6.9,8.04,9.0,9.42
Asset Class,An asset class is a grouping of investments that exhibit similar characteristics and are subject to the same laws and regulations. Asset classes are made up of instruments which often behave similarly to one another in the marketplace.,investopedia,1,35.27,13.1,0.0,12.65,12.6,9.57,14.0,16.02
Financial investment,"Placing money in a savings account or in any number of financial assets, such as stocks, bonds, or mutual funds, with the intention of making a financial gain.",6_8_louis,1,51.52,13.0,0.0,9.35,14.8,9.54,18.0,15.49
MURABAHA,"A TRUST sale scheme used in ISLAMIC FINANCE, where a FINANCING is structured as a credit sales contract with a markup over a negotiated invoice price. See also IJARA, SALAM, SUKUK.",palgrave,0,64.2,8.2,0.0,9.57,9.1,11.54,8.25,10.07
Up/Down Gap Side-by-Side White Lines,"The side-by-side white lines pattern is a three-candle continuation pattern that occurs on candlestick charts. The up version is a large up (white or green) candle followed by a gap and then two more white candles of similar size to each other. The down version is a large down (black or red) candle followed by two white candles of similar size. When the pattern occurs, which is rare, it is expected that the price will continue moving in the current trend direction, down or up, as the case may be.",investopedia,1,65.56,9.7,11.7,8.59,11.4,7.38,13.5,10.78
Offtake Agreement,An offtake agreement is an arrangement between a producer and a buyer to purchase or sell portions of the producer's upcoming goods. An offtake agreement is normally negotiated before the construction of a production facility—such as a mine or a factory—to secure a market for its future output.,investopedia,1,30.2,15.0,0.0,12.6,14.9,10.42,17.0,17.1
Net Interest Income,"Net interest income is a financial performance measure that reflects the difference between the revenue generated from a bank's interest-bearing assets and the expenses associated with paying on its interest-bearing liabilities. A typical bank's assets consist of all forms of personal and commercial loans, mortgages, and securities. The liabilities are interest-bearing customer deposits. The excess revenue that is generated from the interest earned on assets over the interest paid out on deposits is the net interest income.",investopedia,1,26.51,14.4,15.9,16.01,15.9,9.52,14.625,13.43
Cost of Debt,"The cost of debt is the effective interest rate a company pays on its debts. It’s the cost of debt, such as bonds and loans, among others. The cost of debt often refers to the before-tax cost of debt, which is the company's cost of debt before taking taxes into account. However, the difference in the cost of debt before and after taxes lies in the fact that interest expenses are deductible.",investopedia,1,70.13,8.0,11.7,7.54,8.6,7.82,11.25,9.42
Social Entrepreneur,"A social entrepreneur is a person who pursues novel applications that have the potential to solve community-based problems. These individuals are willing to take on the risk and effort to create positive changes in society through their initiatives. Social entrepreneurs may believe that this practice is a way to connect you to your life's purpose, help others find theirs, and make a difference in the world (all while eking out a living).",investopedia,1,47.12,12.7,13.0,12.19,14.8,10.31,15.0,14.04
CREDIT INVENTORY RISK,"The RISK of loss arising from a borrower’s finan- cial deterioration (reflected in a widening of its CREDIT SPREAD) and/or its failure to perform on a LOAN or BOND obligation (reflected in DEFAULT). See also CREDIT DEFAULT RISK, CREDIT SPREAD RISK.",palgrave,0,50.67,11.3,0.0,10.85,12.7,10.05,12.75,12.1
Inclusive Method,A method of classifying observations in which an observations equal to the upper class limit of a class as well as the lower class limit is put in that class.,ncert_kest,1,57.95,12.6,0.0,8.08,13.8,7.76,18.0,14.67
credit union,"A financial institution that focuses on servicing the banking and lending needs of its members, who must be linked by a common bond.",fmi,0,48.13,12.3,0.0,10.28,12.6,12.33,15.5,16.16
Liquid asset,An asset that is easily convertible to cash with relatively little loss of value in the conversion process.,6_8_louis,1,44.75,11.5,0.0,11.08,11.1,9.79,13.0,16.09
WARRANTY,"A PLEDGE by a company, INSURED, or SECURITIES ISSUER indicating that specific conditions related to the commencement or fulfill- ment of a CONTRACT exist. Warranties may be relied upon by another party to the transaction as an element of the contract, and any breach may lead to cancellation. See also REPRESENTATION.",palgrave,0,37.3,12.3,14.6,12.0,11.8,10.67,12.5,14.64
Automated Customer Account Transfer Service (ACATS),"The Automated Customer Account Transfer Service (ACATS) is a system that facilitates the transfer of securities from one trading account to another at a different brokerage firm or bank. The National Securities Clearing Corporation (NSCC) developed the ACATS system, replacing the previous manual asset transfer system with this fully automated and standardized one.",investopedia,1,19.2,17.2,0.0,16.6,19.7,10.61,20.75,18.9
LTD,See LIMITED.,palgrave,0,35.61,8.8,0.0,-1.61,5.5,11.63,1.0,20.8
Form 4,"SEC Form 4: Statement of Changes in Beneficial Ownership is a document that must be filed with the Securities and Exchange Commission (SEC) whenever there is a material change in the holdings of company insiders. Insiders consist of directors and officers of the company, as well as any shareholders, owning 10% or more of the company's outstanding stock. The forms ask about the reporting person's relationship to the company and about purchases and sales of such equity shares.",investopedia,1,36.63,14.6,18.2,12.07,15.8,10.8,20.0,18.61
STRIPPING,"The process of separating a BOND’s CORPUS and INTEREST COUPONS so that they can be traded separately. Stripping is done by gov- ernment agencies and FINANCIAL INSTITUTIONS, often by creating separate TRUST vehicles that hold the original SECURITIES and issue new, decomposed securities. See also RECONSTITUTION.",palgrave,0,30.57,12.8,15.0,14.9,13.5,11.6,12.0,15.69
NAMED INSURED,The party in an INSURANCE POLICY that is designated as an INSURED.,palgrave,0,42.38,10.3,0.0,7.93,6.1,9.5,8.0,14.8
CASH ON DELIVERY OPTION,See CONTINGENT PREMIUM OPTION.,palgrave,0,8.2,13.1,0.0,14.5,12.4,15.68,3.0,21.6
Compound interest,"If a deposit account of $100 earns an INTEREST RATE of 10% a year, then at the end of the year the account will contain $110. If all of that money is left in the account, then the 10% interest will be paid on the $110, so at the end of the second year $11 of interest will be added, making $121 in all. This is known as compound interest. By contrast, SIMPLE INTEREST pays the 10% only on the original sum in the account.",economist,1,75.24,8.1,10.1,4.53,7.8,7.11,12.125,9.46
CURRENT WEIGHTED INDEX,"A method of computing a weighted INDEX that uses current period quantities, computed as:⎝where pc is the current period price, qc is the current period quantity, p0 is the base period price. Also known as PAASCHE’S INDEX. See also BASE WEIGHTED INDEX.",palgrave,0,57.27,8.8,12.5,10.14,9.1,9.59,8.66666666666667,10.36
Voluntary Export Restraint (VER),A voluntary export restraint (VER) is a trade restriction on the quantity of a good that an exporting country is allowed to export to another country. This limit is self-imposed by the exporting country.,investopedia,1,54.22,9.9,0.0,10.55,10.6,9.12,12.0,11.51
Legal Lending Limit,The legal lending limit is the maximum dollar amount that a single bank can lend to a given borrower. This limit is expressed as a percentage of an institution’s capital and surplus. The limits are overseen by the Federal Deposit Insurance Corporation (FDIC) and the Office of the Comptroller of the Currency (OCC).,investopedia,1,45.05,11.4,13.6,10.44,10.8,9.88,12.1666666666667,13.87
Game Changer,"The term game-changer refers to an individual or company that significantly alters the way things are done as a whole. Individual game-changers find a way to stand out by way of their personality. Game-changing companies are able to switch things up and form new business plans and strategies that place them above their competition. By mere virtue of their actions, game-changers can make changes that transform the landscape as a whole.",investopedia,1,61.87,9.1,10.7,11.77,11.8,8.74,10.625,9.94
nominal anchor,"A nominal variable such as the in˚a-tion rate, an exchange rate, or the money supply that monetary policy makers use to tie down the price level.",fmi,0,53.55,12.3,0.0,8.88,13.3,9.18,17.0,15.02
BASKET DEDUCTIBLE,A single DEDUCTIBLE on an INSURANCE POLICY that covers multiple lines of coverage for different PERILS. See also BASKET AGGREGATE.,palgrave,0,35.95,10.7,0.0,12.85,9.7,11.24,7.0,14.0
Wisdom of Crowds,"Wisdom of crowds is the idea that large groups of people are collectively smarter than individual experts when it comes to problem-solving, decision-making, innovating, and predicting.",investopedia,1,28.17,15.8,0.0,17.12,20.4,12.82,19.0,18.09
Par,"Par value, also known as nominal value, is the face value of a bond or the stock value stated in the corporate charter.",investopedia,1,56.59,11.1,0.0,6.74,9.9,8.9,13.5,12.68
Stop Payments,A stop payment is a formal request made to a financial institution to cancel a check or payment that has not yet been processed. A stop payment order is issued by the account holder and can only be enacted if the check or payment has not already been processed by the recipient.,investopedia,1,53.55,12.3,0.0,8.25,12.2,7.66,15.0,13.48
RATE-SENSITIVE LIABILITIES,"LIABILITIES of a FINANCIAL INSTITUTION that are exposed to changes in INTEREST RATES (e.g., DEPOSITS, REPURCHASE AGREEMENTS, BONDS). Measurement of rate-sensitive liabilities is an essential component of GAP MANAGEMENT; by determining sensitivity to changes in interest rates, a financial institution can manage its exposure to DIRECTIONAL RISK, CURVE RISK, and REPRICING RISK. See also ASSET MANAGEMENT, RATE-SENSITIVE ASSETS.",palgrave,0,18.05,15.5,17.9,18.04,18.3,12.22,16.3333333333333,17.38
First Mover,A first mover is a service or product that gains a competitive advantage by being the first to market with a product or service. Being first typically enables a company to establish strong brand recognition and customer loyalty before competitors enter the arena. Other advantages include additional time to perfect its product or service and setting the market price for the new item.,investopedia,1,41.7,12.7,13.6,12.18,13.2,9.19,13.8333333333333,14.11
